nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT04096807,Pulmonary Vein Diameter and Collapsibility Measured by TEE to Predict Elevated Left Atrial Pressure in Cardiac Surgery,"University Hospital, Montpellier",2019-08-08,"left upper pulmonary vein diameter (in millimeters) measured by transesophageal echocardiography, compared to the contemporary measure of left atrial pressure by pulmonary arterial catheter. | left upper pulmonary vein diameter (in millimeters) measured by transesophageal echocardiography, compared to the contemporary measure of left atrial pressure by pulmonary arterial catheter. | left upper pulmonary vein diameter (in millimeters) measured by transesophageal echocardiography, compared to the contemporary measure of left atrial pressure by pulmonary arterial catheter.",2019,2015-2019,,0
NCT05598567,Hemodynamic Parameters and Cardiac Enzyme Levels in Patients Undergoing General Anesthesia,Duzce University,2022-06-06,Change from baseline in the cardiac enzyme levels | Change from baseline in the hemodynamic parameters : Systolic and diastolic blood pressures (SAP and DAP) | Change from baseline in the hemodynamic parameters : Heart rate (HR) | Change from baseline in the hemodynamic parameters : Peripheral oxygen saturation (sPO2) | Change from baseline in the hemodynamic parameters : Bispectral index (BIS),2022,2020-2025,Hypotension exposure; Cardiac outcomes; Sedation / anesthesia depth,3
NCT07540598,Culturally Tailored Nurse-Led Holistic Spiritual Care Improves Hemodynamic Stability and Well-Being in Cardiac Surgery Patients,Lincoln University College Malaysia,2025-10-09,Systolic Blood Pressure (mmHg) | Diastolic Blood Pressure (mmHg) | Heart Rate (beats per minute) | Mean Arterial Pressure (mmHg),2025,2020-2025,Hypotension exposure; Cardiac outcomes,2
NCT07489001,Opioid Free and Opioid Based Anesthesia in Elective Lumbar Spine Surgery,Marmara University,2025-12-09,Postoperative Opioid Consumption in the First 48 Hours,2025,2020-2025,Pain,1
NCT02412800,Risk Factors of Postoperative Acute Lung Injury Following Liver Transplantation,National Taiwan University Hospital,2015-04,Postoperative acute lung injury,2015,2015-2019,,0
NCT02846948,The Impact of Focused Transthoracic Echocardiography in Urgent Abdominal Surgery for Septic Patients,Lithuanian University of Health Sciences,2016-01,Inpatient mortality in both treatment arms.,2016,2015-2019,Mortality,1
NCT06431178,General Anesthesia Versus Sedation By Dexmedetomidine and Ketamine With Local Infiltration for Percutaneous Transcatheter Closure of Atrial Septal Defect in Pediatric Patients,Tanta University,2024-05-01,Heart rate,2024,2020-2025,Cardiac outcomes,1
NCT06785987,Continuous Lidocaine Infusion in Thyroid Surgery Using Intraoperative Neurophysiological Monitoring,Kaohsiung Veterans General Hospital.,2024-02-07,bucking and inadequate depth of anesthesia incidence,2024,2020-2025,Sedation / anesthesia depth,1
NCT04362033,Comparison of Dynamic Fluid Responsiveness by EIT and Transpulmonary Thermodilution in Postoperative of CABG Patients,Ludhmila Abrahão Hajjar,2018-08-22,Difference between the variation of the stroke volume and impedance variation (mean difference in %) | Correlation between the variation of the stroke volume and impedance variation,2018,2015-2019,Cardiac outcomes,1
NCT06421181,Hemodynamic Effects of Anesthesia Induction,Kliniken Essen-Mitte,2025-01-14,Longitudinal change of heart rate assessed in percentages during the induction of anaesthesia | Longitudinal change of arterial blood pressure assessed in percentaqes during the induction of anaesthesia | Longitudinal change of stroke volume assessed in percentaqes during the induction of anaesthesia | Longitudinal change of myocardial strain imaging assessed by transthoracic echocardiography during the induction of anaesthesia,2025,2020-2025,Hypotension exposure; Cardiac outcomes,2
