nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT02747875,Methadone vs. Fentanyl Administration on Postoperative Pain Control in Pediatric Patients Undergoing Cardiac Surgery,Andrew Waberski,2016-09,"Total Opioid Dose, in Morphine Equivalents, in the First 24 Hours After Pediatric Cardiac Bypass Surgery.",2016,2015-2019,Pain,1
NCT02896595,General Anesthesia With ETT vs LMA in Patients Undergoing Ablation for Atrial Fibrillation,Virginia Commonwealth University,2016-09,Procedure Time (Minutes),2016,2015-2019,,0
NCT04208594,Efficacy of Ivabradine Versus Propranolol Premedication During Hypotensive Anesthesia in Endoscopic Sinus Surgery,Alexandria University,2019-12-11,Hemodynamic changes : | amount of Blood loss,2019,2015-2019,Length of stay; Blood loss / transfusion,2
NCT06855407,Hypertension and Cerebrovascular Hemodynamics in General Anaesthesia,Umeå University,2024-12-06,Cerebral blood flow | rSO2,2024,2020-2025,,0
NCT04414228,Anesthetic Guidance of Depth of Anesthesia and Indirect Cardiac Output Monitoring in Thoracic Surgery,Taipei Medical University Shuang Ho Hospital,2020-06-19,Time to spontaneous eye opening | Rate of in-hospital postoperative pulmonary complications,2020,2020-2025,Postoperative complications,1
NCT05016076,Multi-Strategy Intervention for Anesthesia Care of Obese Patients A Factorial Randomized Controlled Trial,YingHsuanTai,2022-05,"Substudy 1: Number of participants developing postoperative nausea and vomiting | Substudy 2: The threshold inspiratory pressure for gastric insufflation | Substudy 3: The best glottis visualization, graded according to Cormack and Lehane's classification | Substudy 4: Number of participants developing postoperative major complications",2022,2020-2025,Postoperative complications,1
NCT06995690,Ketamine for Preventing Post-Spinal Hypotension in Orthopedic Surgery,Ain Shams University,2025-06-01,Incidence of Post-Spinal Hypotension,2025,2020-2025,Hypotension exposure,1
NCT05758090,Newborn Infant Parasympathetic Evaluation (NIPE) for Guiding Intraoperative Fentanyl in Children Under 2 Years,Khon Kaen University,2023-03-10,"Postoperative pain: Face, Legs, Activity, Cry, Consolability scale (FLACC scale)",2023,2020-2025,Pain,1
NCT05214950,Oxygen Reserve Index in Airway Surgery in Children,Seoul National University Hospital,2022-01-18,Hypoxemia,2022,2020-2025,,0
NCT06396884,Hemodynamic Optimization During Spinal Anesthesia in the Elderly,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2024-05-14,Duration of hospitalization,2024,2020-2025,Length of stay,1
NCT02479321,Goal Directed Hemodynamic Therapy Based on Noninvasive Monitoring in Patients With Hip Fracture,"Juan-Víctor Lorente, MD, PhD",2015-06,Percentage of patients who developed intraoperative haemodynamic instability,2015,2015-2019,,0
NCT04754295,Goal-directed Therapy in Neurosurgery.,Brno University Hospital,2021-03-01,Serious Adverse Events 1 | Serious Adverse Events 2 | Recruitment rate | Completeness of Case Report Forms,2021,2020-2025,Postoperative complications,1
NCT07198906,A NEW WAY TO DETECT ACUTE KIDNEY INJURY,"University Hospital, Rouen",2025-10-01,To study the association between the VEXUS score and the occurrence of acute renal failure post-operatively after cardiac surgery.,2025,2020-2025,Acute kidney injury,1
NCT07560267,Efficacy of Ultrasound-Guided Erector Spinae Block for Postoperative Pain Management in Nephrectomy,Bangladesh Medical University,2025-09-01,Visual Analogue Scale (VAS) for pain,2025,2020-2025,Pain,1
NCT03852147,Individualized Hemodynamic Optimization by Indirect Measurement of the Respiratory Quotient in Major Surgery: Prospective Randomized Multicentre Open-Label Study (OPHIQUE) Individualized Optimization by Indirect Measurement of the Respiratory Quotient,"Centre Hospitalier Universitaire, Amiens",2018-12-26,organ failure | mortality rate at day 30,2018,2015-2019,Mortality,1
NCT06156943,Advanced Goal-Directed Impedancemetry Strategy for Lung Resection Surgery,Hospices Civils de Lyon,2024-12-12,A composite of postoperative complications rate adapted from the Clavien-Dindo classification with only events ≥ class II,2024,2020-2025,Postoperative complications,1
NCT06685952,The Application of Ultrasonic Measurement of Optic Nerve Sheath Diameter in Liposuction Surgery,"The Plastic Surgery Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",2024-11-19,Optic nerve sheath diameter,2024,2020-2025,,0
NCT07245485,Fluid Responsiveness With Passive Leg Raising in Patients Undergoing Coronary Artery Bypass Surgery,Ankara City Hospital Bilkent,2025-12-30,hemodynamic parameters (T0) | hemodynamic parameters (T1) | ccFT and Hemodynamic parameters (T3) | ccFT and Hemodynamic Parameters (T4),2025,2020-2025,,0
NCT04517409,Goal-directed Hemodynamic Therapy in Patiens Undergoing Major Hepatic Resection,Castilla-La Mancha Health Service,2015-11-05,Postoperative complications,2015,2015-2019,Postoperative complications,1
NCT05862493,Preoperative Focused Cardiac Ultrasound in Hip Fracture Surgery (PrEcho),Umeå University,2024-02,Blood pressure drop,2024,2020-2025,Hypotension exposure,1
NCT07409532,Intraoperative Assessment of Renal Tissue Oxygenation Using NIRS,Inonu University,2022-12-01,Renal O3 | Cr,2022,2020-2025,,0
NCT06862245,The Effect of Propofol Induction Based on Lean Body Weight on the Depth of Anesthesia,Ankara City Hospital Bilkent,2025-01-01,anaesthesia debt based on BIS (bispectral index) | anaesthesia debt based on the SedLine value,2025,2020-2025,Sedation / anesthesia depth,1
NCT07342842,Comparison of the Ultrasonic Cardiac Output Monitor and Echocardiography for Hemodynamic Assessment in Pediatric Anesthesia,Sehit Prof. Dr. Ilhan Varank Sancaktepe Training and Research Hospital,2021-03-01,Agreement Between USCOM and Echocardiography for Stroke Volume and Cardiac Output,2021,2020-2025,Cardiac outcomes,1
NCT07323979,The Effects of Different Prone Positioning Angles on Cardiopulmonary Function in Children After Congenital Heart Disease Surgery: A Randomized Controlled Trial,Guangdong Provincial People's Hospital,2023-04-20,Lung Compliance | Oxygenation Index (OI) | Airway Resistance,2023,2020-2025,,0
NCT06832046,"Evaluation of the ""Intranasal Fentanyl"" Protocol in Pediatric Surgical Emergencies at Strasbourg University Hospital","University Hospital, Strasbourg, France",2024-10-28,"The judgment criterion is composite in order to retrospectively evaluate the relevance of the prescription, administration and monitoring of the intranasal fentanyl (FIN) protocol. | The judgment criterion is composite in order to retrospectively evaluate the relevance of the prescription, administration and monitoring of the intranasal fentanyl (FIN) protocol.The judgment criterion includes,",2024,2020-2025,,0
NCT04025086,Perioperative Goal Directed Therapy (PGDT) in Spinal Surgery in the Prone Position,University of Catania,2018-10-29,Frequency rate of early post-operative complications,2018,2015-2019,Postoperative complications,1
NCT07265128,Remimazolam vs Midazolam to Reduce Delirium in Adults ≥65 Undergoing CPB Valve Surgery,Yonsei University,2025-12,Incidence of postoperative delirium within 4 days after surgery,2025,2020-2025,Delirium / cognitive,1
NCT07150936,Effect of Stress Ball Intervention on Psychophysiological Responses During Hernia Surgery: A Randomized Controlled Trial,Cukurova University,2025-08-15,Spielberger State-Trait Anxiety Inventory | Visual Anxiety Scale (VAS-A) | Visual Pain Scale (VAS) | Vital Signs Monitoring Form,2025,2020-2025,Pain,1
NCT05964374,Goal-Directed Therapy Following Cardiac Surgery,University of Calgary,2023-07,24-hour cumulative IV fluid administration,2023,2020-2025,Fluid management,1
NCT07040735,Low-Flow Anesthesia and Open-Heart Surgery,Çağrı Özdemir,2025-07-01,physiological parameter ; heart rate | physiological parameter; systolic/diastolic blood pressure | physiological parameter; SpO2 | Monitoring parameter; Bispectral Index (BIS) | Monitoring parameter; Minimum alveolar concentration (MAC),2025,2020-2025,Hypotension exposure; Cardiac outcomes; Sedation / anesthesia depth,3
NCT03805217,Hypotension Prediction Index Study (HPI Study),Edwards Lifesciences,2019-05-16,Reduction of Intraoperative Hypotension,2019,2015-2019,Hypotension exposure,1
NCT06439732,Impact of Using an Hemodynamic Monitoring System on Anesthetic Consumption During Abdominal Surgery,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2024-07-01,Reduction in Anesthetic consumption,2024,2020-2025,Sedation / anesthesia depth,1
NCT04913493,Use of Sublingual Microcirculation and FloTrac Monitoring During Major Vascular Surgery and Its Effect on Hospital LOS,Universitair Ziekenhuis Brussel,2021-06-08,Number of hospitalisation days. (LOS),2021,2020-2025,Length of stay,1
NCT06440161,Association of Intraoperative Haemodynamic and Postoperative Complications in Type A Aortic Dissection Surgery,"Nanjing First Hospital, Nanjing Medical University",2023-10-01,The Incidence of AKI | The Incidence of AKD,2023,2020-2025,Acute kidney injury,1
NCT06476613,Permissive Hypotension After Cardiac Surgery,Massachusetts General Hospital,2024-04-20,MAP in mmHg | Vasoactive-Inotropic Score for duration of pressor need,2024,2020-2025,Vasopressor / inotrope use,1
NCT05772260,Autonomic Dysfunction and Hemodynamic Instability During Per-oral Endoscopic Myotomy,Gangnam Severance Hospital,2023-04-03,Wobble of Systolic Arterial Pressure (SAP) during surgery,2023,2020-2025,,0
NCT06614010,Effect of Different Administration Routes of Dexmedetomidine Combined with Ultrasound-Guided Fascia Iliaca Block on Emergence Agitation After Hip Replacement Surgery,Qianfoshan Hospital,2023-02-05,Incidence of awakening agitation,2023,2020-2025,,0
NCT06879600,High-Flow Nasal Oxygen for Preoxygenation in Emergency Surgery Patients With Full Stomachs,Nguyen Dang Thu,2023-07-19,PaO2 | Changes SpO2 during 3 minutes of preoxygenation | Incidence of desaturation during rapid sequence induction anesthesia | Number of episode of facemask ventilation during apnea period,2023,2020-2025,,0
NCT07042906,Comparison of the Factors Affecting PSI and BIS Values in Monitoring Anesthetic Depth During Open-Heart Surgery,Kocaeli University,2024-01-18,"The primary objective of this study is to measure the correlation between BIS and PSI values, which are parameters used to monitor the depth of anesthesia during open-heart surgery.",2024,2020-2025,Sedation / anesthesia depth,1
NCT05751148,Cardiovascular Effects of Intrathecal Hyperbaric Prilocaine or Bupivacaine in Surgery Under Spinal Anesthesia,Centre Hospitalier Universitaire Saint Pierre,2023-03-22,Change in cardiac output assessed by Clear Sight device | Change in cardiac output assessed by transthoracic Ultrasound | Stroke Volume Variation assessed by the Clear Sight device | Stroke Volume Variation assessed by transthoracic Ultrasound,2023,2020-2025,Cardiac outcomes; Goal-directed therapy protocol,2
NCT06892665,The Effect of HPI to Reduce Intraoperative Hypotension in Caesarean Sections,National University of Malaysia,2025-01-01,Time-weighted average of Mean arterial pressure <65mmHg,2025,2020-2025,Hypotension exposure,1
NCT04388995,SVV and PPV Predict Fluid Responsiveness in Mechanically Ventilated Elderly Patients Under General Anesthesia,Chinese PLA General Hospital,2020-05-12,Fluid responsiveness,2020,2020-2025,Fluid management,1
NCT06457100,Esmolol Versus Lidocaine on the Quality of Postoperative Recovery in Patients Undergoing Functional Endoscopic Sinus Surgery,The Second People's Hospital of Huai'an,2023-11-21,The quality of recovery-15（QoR-15）,2023,2020-2025,,0
NCT05222893,Optimization of PEEP During Laparoscopic Surgery,Karaganda Medical University,2021-04-14,Change in arterial partial oxygen tension to inspiratory oxygen fraction (PaO2/FiO2) ratio,2021,2020-2025,,0
NCT05554263,Comparison of Automated Control Anesthesia and Manual Control Anesthesia in Minimal Flow Anesthesia,Sakarya University,2022-09-01,ET-AA,2022,2020-2025,,0
NCT05688345,"Comparison of Recovery Profiles Among Propofol, Remimazolam, and Dexmedetomidine After Intraoperative Sedation",Asan Medical Center,2023-02-23,Recovery profile,2023,2020-2025,,0
NCT02571465,Assessment of Fluid Responsiveness in Patients After Cardiac Surgery,Triemli Hospital,2015-04,Stroke volume increase > 15%,2015,2015-2019,Cardiac outcomes,1
NCT03095430,Modulation of General Anesthesia Using Entropy and Surgical Pleth Index,Romanian Society of Anesthesia and Intensive Care,2016-01-01,Change of systolic blood pressure baseline | Change of heart beat rate baseline | Opioid consumption,2016,2015-2019,Hypotension exposure; Pain,2
NCT06183567,The Effect of Sedoanalgesia and General Anaesthesia on Early Neurological Recovery in Acute Ischaemic Stroke Patients Undergoing Endovascular Thrombectomy,Umraniye Education and Research Hospital,2023-11-30,scoring systems of neurological findings | effects of both anesthesia management on hemodynamics during the procedure,2023,2020-2025,,0
NCT03967119,Assessments of Dynamic Variables of Fluid Responsiveness to Predict Desufflation-induced Hypotension in Urologic Patients Undergoing Laparoscopic Surgery,Yonsei University,2019-04-25,AUC for dynamic variables to predict deflation-induced hypotension | AUC for dynamic variables to predict deflation-induced hypotension,2019,2015-2019,Hypotension exposure,1
NCT06583213,Conventional Spinal Anaesthesia Versus Fractional Spinal Anaesthesia on Hemodynamics,Ain Shams University,2024-09-01,Is to measure blood pressure change intra-operative operative operative (2 hours),2024,2020-2025,Hypotension exposure,1
NCT07117123,Transcutaneous Electrical Acupoint Stimulation on Postoperative Pharyngeal Pain,"Nanjing First Hospital, Nanjing Medical University",2025-08-01,Incidence of Postoperative Sore Throat (POST) at 24 Hours After Extubation,2025,2020-2025,,0
NCT03009669,The Application of Pleth Variability Index in Continuous Monitoring the Volume Status of Intraoperative Patients,"First Affiliated Hospital, Sun Yat-Sen University",2016-12,the correlation of SVV and PVI,2016,2015-2019,Goal-directed therapy protocol,1
NCT03395483,Peripheral and Mesenteric Perfusion in Elective Surgical Patients,Hvidovre University Hospital,2018-04-10,Peripheral perfusion index and mesenteric perfusion changes from baseline after haemodynamic challenges,2018,2015-2019,Lactate / tissue perfusion,1
NCT07483151,Venous Congestion And Cognitive Dysfunction After Cardiac Surgery,Zhuan Zhang,2024-11-01,Postoperative cognitive dysfunction after surgery,2024,2020-2025,Delirium / cognitive,1
NCT07364201,A Comparison of Nicardipine and Labetalol for Blood Pressure Control in Intensive Care Patients After Hemorrhagic Stroke Brain Surgery,Universitas Sumatera Utara,2025-11-14,Effectiveness of Hemodynamic Control,2025,2020-2025,,0
NCT02221037,Study of GSK2862277 in Subjects Undergoing Oesophagectomy Surgery,GlaxoSmithKline,2015-04-28,Baseline Adjusted Change in Pulmonary Vascular Permeability Index (PVPI) on Completion of Surgery,2015,2015-2019,,0
NCT04966364,Hypotension Prediction Index in Major Gastrointestinal Surgery,National Taiwan University Hospital,2021-07-22,time-weighted average mean arterial pressure less than 65 mmHg,2021,2020-2025,Hypotension exposure,1
NCT02690688,Intra-abdominal Pressure and Dynamic Preload Variables,University of Luebeck,2016-03,Influence of pneumoperitoneum or open abdominal surgery on dynamic preload parameters,2016,2015-2019,Cardiac outcomes,1
NCT05063227,Prediction of Postoperative Pain by Nociception Monitoring,Universitätsklinikum Hamburg-Eppendorf,2021-10-06,Primary endpoint will be the diagnostic accuracy (ROC analysis) of the nociception indices after the end of surgery to predict moderate to severe immediate postoperative pain,2021,2020-2025,Pain,1
NCT07307625,LAPOFAR Trial: Opioid-Free vs. Remifentanil Anesthesia in Laparoscopic Cholecystectomy,Dr. Lutfi Kirdar Kartal Training and Research Hospital,2024-12-15,Postoperative Pain Score (VAS),2024,2020-2025,Pain,1
NCT06437743,Monitoring Nociception Using NoL Index to Reduce Opioid-Related Complications in Laparoscopic Abdominal Surgery,"Investigation Group Anesthesia, Resuscitation, And Perioperative Medicine of Aragon",2024-06-01,Reduction in Postoperative Opioid-Related Complications,2024,2020-2025,Postoperative complications; Pain,2
NCT02742974,Fluid Resuscitation Optimization in Surgical Trauma Patients (FROST),CAMC Health System,2015-12,Complications,2015,2015-2019,Postoperative complications,1
NCT07363681,Inhalational Agents Versus Dexmedetomidine for Maintenance of General Anesthesia,Bakirkoy Dr. Sadi Konuk Research and Training Hospital,2024-10-01,Depth of anesthesia,2024,2020-2025,Sedation / anesthesia depth,1
NCT05752981,Multi-channel Time-resolved Functional Near Infrared Spectroscopy for Prevention of Perioperative Brain Injury,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,2023-05-16,Impact of intraoperative hemodynamic parameter on regional differences in cerebral oxygenation (ScO2) between brain regions during surgery,2023,2020-2025,,0
NCT07251270,Effect of Stress Ball During Chest Tube Removal After Open Heart Surgery,Mersin University,2025-11-27,Participants' pain levels with stress ball application,2025,2020-2025,Pain,1
NCT05648279,Personalized Hemodynamic Management in High-risk Major Abdominal Surgery,Universitätsklinikum Hamburg-Eppendorf,2023-10-08,Composite outcome of major postoperative complications,2023,2020-2025,Postoperative complications,1
NCT03501927,Focused Cardiac Ultrasound in Surgery,Aarhus University Hospital,2018-05-07,Proportion of patients admitted to hospital ≥ 10 days or dead within 30 days,2018,2015-2019,,0
NCT05227729,Descending Aorta Blood Flow to Guide Fluid Therapy During Surgery,Sykehuset Telemark,2022-10-18,Change in blood flow velocity in descending aorta | Change in blood flow velocity in descending aorta | Change in stroke volume,2022,2020-2025,Cardiac outcomes,1
NCT04833751,"Registry of Cardio/Neurovascular Anesthesia Including the Database of Biological Signals During Anesthesia, Preoperative Assessment and Prognosis in Patients",Yonsei University,2018-12-14,all cause mortality,2018,2015-2019,Mortality,1
NCT05968456,Complexity and Frailty in Cardiothoracic and Vascular Anesthesia (CAfCA). Prospective Multicentric Observational Study,Istituto Clinico Humanitas,2023-10-10,Frailty Prevalence | Frailty Prevalence comparison,2023,2020-2025,,0
NCT04288869,Change in Brain Perfusion During Induction of General Anesthesia,Assistance Publique - Hôpitaux de Paris,2021-01-27,Mean arterial blood pressure | Cerebral blood flow velocity | Burst Suppression | Cerebral oxygen saturation,2021,2020-2025,Hypotension exposure,1
NCT03086603,Observation of Principal Hemodynamic Variables After Spinal Anesthesia With Non Invasive Hemodynamic Monitoring,Istituto Ortopedico Rizzoli,2016-03,stroke volume and stroke volume index,2016,2015-2019,Cardiac outcomes,1
NCT06814054,Carotid Artery Corrected Flow Time and Inferior Vena Cava Collapsibility Index for Prediction of Hypotension After Induction of General Anesthesia in Geriatric Patients Undergoing Elective Surgery,Tanta University,2025-03-01,the diagnostic efficacy of cFT by Carotid ultrasound and IVC collapsibility index in prediction of hypotension after induction of general anesthesia in geriatric patients,2025,2020-2025,Hypotension exposure,1
NCT05998694,Post-market Clinical Monitoring of the Safety and Efficacy of the Aortic Valve Bioprothesis,Closed Joint-Stock Company NeoCor,2021-06-01,"1. Incidence of Treatment-Emergent Adverse Events, requiring repeated surgical intervention in the long term (long-term safety and durability) | 2. Incidence of Treatment-Emergent Adverse Events, requiring repeated surgical intervention in the short term (short-term safety)",2021,2020-2025,Postoperative complications,1
NCT02327494,Study to Evaluate Oxygen Monitoring at Different Stages of Neuromuscular Blockade in Colorectal Surgery,Hospital Universitari de Bellvitge,2015-01,the central venous oxygen saturation (ScvO2),2015,2015-2019,Lactate / tissue perfusion,1
NCT06371638,Dexmedetomidine and Postoperative Cognitive Dysfunction (POCD),Udayana University,2024-01-07,Postoperative cognitive dysfunction (POCD) | Postoperative cognitive dysfunction (POCD),2024,2020-2025,Delirium / cognitive,1
NCT05829785,Influence of Obesity on Microvascular Reactivity During General Anesthesia,Pusan National University Hospital,2018-06-01,Recovery slope after general aneshtesia (Tpost),2018,2015-2019,,0
NCT05671783,Intraoperative Hypotension and Post-anesthesia Care Unit Recovery,Acibadem University,2022-05-06,Effect of IOH types on PACU recovery (Duration),2022,2020-2025,,0
NCT02884973,Prospective Evaluation of Changes in Tissue Oxygen Saturation in Brain and Kidney in Children Admitted to Intensive Care in the Postoperative Period of Cardiac Surgery,"University Hospital, Strasbourg, France",2016-07,oxygen saturation in brain and kidney tissue,2016,2015-2019,,0
NCT06866886,EEG-Guided Sedation in ERCP Procedures,Ankara City Hospital Bilkent,2025-03-10,Total Anesthetic Consumption | Recovery Time from Anesthesia | Sedation Depth Maintenance,2025,2020-2025,Sedation / anesthesia depth,1
NCT05101291,Fractional Spinal Anesthesia and Systemic Hemodynamics in Frail Elderly Hip Fracture Patients.,Sahlgrenska University Hospital,2021-01-15,Mean arterial pressure | Cardiac Output | Systemic Vascular Resistance Index | Elastance,2021,2020-2025,Hypotension exposure; Cardiac outcomes,2
NCT05283590,Automated Inferior Vena Cava Collapsibility Index Fluid Responsiveness in Ventilated Patients After Cardiac Surgery.,Hamad Medical Corporation,2022-02-12,Fluid responsiveness rate 500cc of colloids over 10 min.,2022,2020-2025,Fluid management,1
NCT07462689,"Effect of Control Ventilation, PEEP, and PEEP With ARM in Robot-assisted Radical Prostatectomy",Ilsan Cha hospital,2020-12-01,Intraoperative oxygenation assessed by the arterial partial pressure of oxygen to inspired oxygen fraction ratio,2020,2020-2025,,0
NCT02840253,"Changes in Tissue and Cerebral Oxygenation Following Spinal Anesthesia in Neonates, Infants, and Children",Joseph D. Tobias,2016-07,Cerebral Non-invasive Near Infrared Spectroscopy (NIRS) | Tissue Non-invasive Near Infrared Spectroscopy (NIRS),2016,2015-2019,,0
NCT04131699,Electrical Velocimetry (ICON Cardiometry ) Assessment of Hemodynamic Changes During Pediatric Thoracoscopic Surgery,Cairo University,2019-11-01,change in Cardiac index,2019,2015-2019,Cardiac outcomes,1
NCT05285514,Macro- and Microcirculation Crosstalk in Brain-damaged Patients Under Anesthesia or in Intensive Care,Assistance Publique - Hôpitaux de Paris,2023-06,Capillary density | Microcirculatory flow,2023,2020-2025,,0
NCT06998849,The Impact of Intraoperative Change in the Body Temperature on the Perfusion Index,Ain Shams University,2024-04-01,To measure the change of PI associated with change in core and peripheral body temperatures as measured by the oropharyngeal probe and the pattern of this change,2024,2020-2025,,0
NCT07259655,Management of Post-Induction Hypotension in Emergency Abdominal Surgery,Hopital Charles Nicolle,2025-03-06,Rate of restoration of target blood pressure (Efficacy),2025,2020-2025,Hypotension exposure,1
NCT05297318,HPI in Older Patients Undergoing Major Gastrointestinal Surgery,National Taiwan University Hospital,2022-03-28,Time-weighted average mean arterial pressure less than 65 mmHg,2022,2020-2025,Hypotension exposure,1
NCT06905249,Midclavicle Block: A Clinical Observational Study,Hospital HM Nou Delfos,2024-12-02,Intraoperative Pain Assessment Using the Visual Analog Scale,2024,2020-2025,Pain,1
NCT04152135,Hemodynamic Changes With Passive Leg Raising Maneuver in Patients Undergoing Arthroscopic Shoulder Surgery,Diskapi Teaching and Research Hospital,2019-11-29,passive leg raising maneuver | vena cava inferior diameter,2019,2015-2019,,0
NCT04950205,Influence of Postoperative Cognitive Function in Patients With Sevoflurane Postconditioning on Carotid Intima Stripped,"Second Affiliated Hospital, School of Medicine, Zhejiang University",2021-06-01,Change from the 1 day preoperative to the 1 day postoperative MMSE(Mini-mental State Examination) | Change from the 1 day preoperative to the 1 day postoperative MoCA(Montreal Cognitive Assessment),2021,2020-2025,Delirium / cognitive,1
NCT02803372,Circulatory Management and Acute Kidney Injury in Patients Undergoing Partial Nephrectomy,Peking University First Hospital,2016-05,Incidence of acute kidney injury after surgery,2016,2015-2019,Acute kidney injury,1
NCT06133842,CEReBral AutorEgulation in Non-cardiac SuRgery and Relationship to Postoperative DeliriUm State,Beth Israel Deaconess Medical Center,2024-04-17,CA state and lower limits of autoregulation (LLA):,2024,2020-2025,,0
NCT05738603,The Hypotension Prediction Index in Free Flap Transplant in Head and Neck Surgery.,Jakub Szrama,2024-09-01,TWA Mean Arterial Pressure (MAP) < 65 mmHg,2024,2020-2025,Hypotension exposure,1
NCT05289622,"Stent Implantation of Polyurethane Expandable Valve, by Catheter, in Patients With Pulmonary Valve Dysfunction",Dr. Miguel Angel Maluf,2022-10,Pulmonary Regurgitation After Polyurethane Expandable Valve Stent Implant Surgery,2022,2020-2025,,0
NCT07285187,Venous Congestion And Delirium After Cardiac Surgery,Zhuan Zhang,2024-11-01,Postoperative delirium after surgery,2024,2020-2025,Delirium / cognitive,1
NCT07235514,Anesthesia Management in Endovascular Therapy for Ischemic Stroke - 2,"University Hospital, Clermont-Ferrand",2025-12-01,modified Rankin Scale,2025,2020-2025,,0
NCT07518524,Ultra Fast-Track vs Fast-Track Protocols in Off-Pump and Minimally Invasive Valve Cardiac Surgery,"Azienda Socio Sanitaria Territoriale Ovest Milanese, Ospedale di Legnano",2025-06-18,Incidence of postoperative pulmonary complications,2025,2020-2025,Postoperative complications,1
NCT06837818,To Explore the Optimal Dose of Dexmedetomidine for Skull Pin Fixation in Intracranial Surgery,Kaohsiung Medical University Chung-Ho Memorial Hospital,2025-03-01,50% effect concentration of dexmedetomidine | 95% effect concentration of dexmedetomidine,2025,2020-2025,,0
NCT06663488,Thoracic Spinal Versus Thoracic Epidural Anesthesia for Patients with Chronic Obstructive Pulmonary Disease Undergoing Supine Percutaneous Nephrolithotomy for Management of Renal Stones.,Sohag University,2023-08-15,1st analgesic requirment | Respiratory monitoring,2023,2020-2025,Pain,1
NCT07077772,Natriuresis-guided Depletion After Cardiac Surgery,"Centre Hospitalier Universitaire, Amiens",2025-06-25,Total urine output (mL) at 48 hours after randomization.,2025,2020-2025,,0
NCT05478564,Hemodynamic Monitoring During Abdominal Aortic Surgery,Humanitas Clinical and Research Center,2022-07-26,Global time spent in hypotension <10%,2022,2020-2025,Hypotension exposure,1
NCT02617602,Goal Directed Hemodynamic Management of Acute Heart Failure After Cardiac Surgery in Children,Meshalkin Research Institute of Pathology of Circulation,2015-12,Major complications,2015,2015-2019,Postoperative complications,1
NCT05548309,HFNC Versus Oxygen Face Mask on Postoperative Pulmonery Complications,Alexandria University,2021-04-30,To compare the effect of HFNC and simple face mask oxygen therapy regarding postoperative pulmonary complications within five days after major elective upper abdominal surgeries.,2021,2020-2025,Postoperative complications,1
NCT07549555,Effect of Manual Chest Wall Vibration on Respiratory Function and Chest Tube Duration After Thoracic Surgery,Saglik Bilimleri Universitesi,2025-10-01,Patient Follow-Up Form,2025,2020-2025,,0
NCT05907811,General Anesthesia and General Anesthesia Combined With Thoracic Epidural Anesthesia,Yuzuncu Yil University,2023-06-05,Neuromuscular agent,2023,2020-2025,,0
NCT05491187,Comparison Between Bupivacaine With and Without Fentanyl in Reducing Pain During Cesarean Delivery Under Spinal Anaesthesia,"Tribhuvan University Teaching Hospital, Institute Of Medicine.",2022-09-20,To compare the incidence of intraoperative visceral pain between two groups,2022,2020-2025,Pain,1
NCT03907904,"Continuous, Non-invasive Monitoring of Intraoperative Cerebral Perfusion and Oxidative Metabolism (CPOM)","Western University, Canada",2019-07-01,Brain cytochrome C oxidase level. | Brain saturation (ScO2),2019,2015-2019,,0
NCT06247384,The Hypotension Prediction Index in Major Abdominal Surgery,Jakub Szrama,2025-01-01,Time weighed average of hypotension below 65 mmHg,2025,2020-2025,Hypotension exposure,1
NCT03798067,Correlation Between Monitoring Renal Hemodynamics by Esophageal Ultrasound and Acute Kidney Injury After Heart Surgery,Xuzhou Medical University,2019-01-02,AUC(RI) | AUC(PI),2019,2015-2019,,0
NCT04526236,Influence of Aging on Perioperative Methadone Dosing,Pontificia Universidad Catolica de Chile,2019-09-03,Methadone plasmatic levels Measured by high pressure liquid chromatography,2019,2015-2019,,0
NCT07328893,Effect of Single Dose Intravenous Magnesium Sulfate on Postoperative Analgesic Consumption in Patients Undergoing Laparoscopic Cholecystectomy,Tata Main Hospital,2025-12-27,Total dose of post-operative morphine consumption.,2025,2020-2025,Pain,1
NCT07445698,Oxygen Reserve Index in Laparoscopic Colorectal Surgery,Dr. Lutfi Kirdar Kartal Training and Research Hospital,2025-01-07,Oxygen Reserve Index (ORI ) at 5 minutes post-extubation,2025,2020-2025,,0
NCT04690764,Evaluation of the Effects of Preoperative Anxiety in Patients Undergoing Total Intravenous Anesthesia (TIVA),"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",2019-09-01,Spielberger State-Trait Anxiety Inventory (STAI) questionnaire and anxiety scores | Total intraoperative opioid consumption | Total intraoperative propofol consumption,2019,2015-2019,Pain; Sedation / anesthesia depth,2
NCT03630744,Fluid Day Spanish Observational Study,"Sociedad Española de Anestesiología, Reanimación y Terapéutica del Dolor",2019-02,Management of fluid theraphy in the operating room and postoperative care.,2019,2015-2019,,0
NCT04148534,Compare the Operating Condition of Two Levels of Muscle Relaxation on Facial Nerve MEP Monitoring in CPA Surgery,Muhammad Magdy Gaber,2019-11-01,End to start facial nerve MEP amplitude ratio.,2019,2015-2019,,0
